City,Pincode,Gender,Age Group,COVID-19 like symptoms,COVID-19 Diagnosed
Nagpur,410067,Female,80+,86299,258
Bangalore,410054,Male,60-80,52096,1366
Pune,53000,Female,20-40,36080,586
Kolkata,400074,Female,20-40,76979,691
Kolkata,560095,Male,80+,42037,1484
Bangalore,400074,Male,40-60,11817,507
Pune,410067,Female,20-40,16641,1754
Kolkata,410054,Male,20-40,9528,1565
Kolkata,400074,Female,80+,12606,1817
Mumbai,400074,Female,40-60,2485,1264
Nagpur,53000,Female,20-40,11573,1252
Bangalore,560095,Female,80+,27134,317
Bangalore,410067,Male,40-60,43095,1779
Pune,400074,Male,60-80,55987,1391
Bangalore,410067,Female,60-80,5465,833
Mumbai,410054,Female,40-60,24799,513
Mumbai,400065,Female,80+,62380,1306
Pune,560095,Male,60-80,60598,582
Chennai,53000,Female,20-40,7733,695
Bangalore,400065,Male,60-80,89112,1692
Bangalore,560095,Male,80+,85464,1254
Mumbai,400065,Female,20-40,7730,240
Nagpur,410067,Female,20-40,37051,1158
Pune,410067,Male,40-60,28589,445
Mumbai,560095,Female,60-80,93043,745
Chennai,53000,Female,20-40,74579,1358
Bangalore,410038,Male,20-40,6014,1307
Chennai,410054,Female,20-40,47405,1533
Pune,53000,Female,60-80,2486,1141
Nagpur,410054,Female,60-80,66976,1425
Kolkata,400065,Male,60-80,94666,1537
Bangalore,410067,Male,40-60,69542,1780
Chennai,410067,Male,60-80,8645,1783
Kolkata,410038,Male,60-80,69011,770
Kolkata,410067,Male,40-60,48328,1157
Pune,410054,Male,80+,58205,1794
Bangalore,53000,Male,80+,90037,692
Mumbai,400074,Female,40-60,75567,405
Pune,400074,Female,80+,46354,1339
Chennai,400065,Male,20-40,8230,1852
Pune,400074,Male,20-40,64676,1166
Pune,410054,Male,60-80,20890,1397
Nagpur,400074,Female,60-80,33671,656
Bangalore,400074,Female,40-60,11923,1759
Kolkata,400074,Female,80+,5366,595
Kolkata,410054,Male,20-40,69058,1889
Chennai,560095,Male,80+,31994,1201
Nagpur,53000,Male,80+,3864,1878
Bangalore,560095,Female,20-40,82144,401
Mumbai,400065,Male,40-60,32145,604
Nagpur,560095,Male,40-60,55987,1479
Pune,53000,Male,40-60,67908,1687
Bangalore,410054,Male,40-60,55598,1393
Nagpur,410038,Female,40-60,6012,935
Mumbai,53000,Male,20-40,82710,1164
Mumbai,410067,Male,20-40,88106,263
Pune,53000,Female,40-60,44594,1124
Nagpur,410038,Female,40-60,77536,1517
Chennai,400065,Female,40-60,31194,1687
Bangalore,560095,Male,60-80,61935,471
Mumbai,400065,Female,80+,41435,1692
Mumbai,410067,Male,80+,48261,1392
Chennai,400065,Female,80+,40138,1501
Bangalore,410067,Female,20-40,41249,1725
Mumbai,400074,Female,20-40,63636,845
Nagpur,400065,Female,40-60,52083,249
Mumbai,53000,Female,40-60,24392,1319
Kolkata,410067,Male,40-60,95549,761
Chennai,400065,Male,80+,87442,1055
Kolkata,560095,Female,40-60,27015,1351
Nagpur,410038,Female,40-60,71032,964
Pune,560095,Female,60-80,8145,717
Mumbai,53000,Male,60-80,2894,1383
Mumbai,410067,Female,60-80,37455,1798
Pune,410067,Male,40-60,93904,1096
Bangalore,410067,Male,20-40,96630,485
Kolkata,410067,Female,20-40,54956,772
Bangalore,400074,Female,60-80,48286,1029
Nagpur,400065,Female,80+,42612,344
Pune,400065,Female,20-40,16415,740
Bangalore,53000,Male,60-80,87594,1806
Chennai,410067,Female,20-40,97780,1628
Chennai,400065,Male,80+,15799,227
Nagpur,53000,Male,60-80,44077,459
Mumbai,400074,Female,60-80,97805,1175
Mumbai,53000,Female,60-80,65794,1649
Nagpur,410067,Female,40-60,28858,324
Bangalore,410054,Female,80+,51225,304
Mumbai,53000,Male,80+,56008,1233
Mumbai,400074,Male,60-80,76819,1767
Mumbai,410038,Female,20-40,23307,582
Pune,400074,Male,60-80,79926,574
Chennai,53000,Male,20-40,43296,1038
Chennai,410067,Female,60-80,45986,1298
Chennai,410067,Male,20-40,90203,1557
Pune,410067,Female,80+,40291,1130
Bangalore,400065,Female,40-60,82487,557
Chennai,400065,Male,40-60,79102,814
Bangalore,53000,Male,20-40,63918,1047
Kolkata,400065,Female,40-60,10694,1041
Bangalore,400074,Male,80+,73025,1614
Mumbai,410067,Female,40-60,92797,1891
Bangalore,400074,Male,40-60,26333,1897
Kolkata,560095,Male,40-60,63666,1155
Bangalore,410038,Male,60-80,33646,1177
Kolkata,410054,Male,20-40,66190,1762
Chennai,560095,Female,60-80,76175,1490
Nagpur,400065,Female,40-60,73350,263
Chennai,53000,Female,20-40,68513,1672
Mumbai,410054,Female,80+,12981,421
Chennai,410038,Female,40-60,13282,626
Mumbai,410067,Female,80+,40354,1003
Kolkata,410038,Male,40-60,89076,1237
Nagpur,410054,Female,20-40,11142,1505
Nagpur,400065,Female,80+,9420,345
Chennai,53000,Female,60-80,91319,1880
Kolkata,400065,Male,60-80,64141,1605
Mumbai,53000,Female,60-80,15837,428
Bangalore,400065,Male,60-80,73274,1353
Mumbai,400065,Female,60-80,26048,804
Mumbai,560095,Male,80+,42728,782
Mumbai,53000,Male,40-60,11823,605
Bangalore,560095,Male,80+,75262,1655
Mumbai,400065,Male,40-60,46393,1309
Pune,400074,Female,80+,71876,1762
Bangalore,400065,Male,80+,93844,307
Mumbai,410054,Female,60-80,93291,698
Chennai,53000,Male,60-80,78392,1355
Nagpur,410067,Female,60-80,34898,362
Pune,400074,Female,40-60,89220,345
Bangalore,53000,Female,20-40,95999,262
Kolkata,410038,Male,60-80,28232,742
Mumbai,400074,Female,20-40,19585,797
Kolkata,410038,Male,60-80,42267,1161
Kolkata,560095,Male,20-40,78198,1521
Chennai,400074,Male,80+,91545,882
Bangalore,53000,Female,40-60,84224,1014
Mumbai,400065,Female,80+,99301,1319
Kolkata,410067,Female,60-80,34992,260
Nagpur,410038,Female,80+,26034,274
Bangalore,400074,Male,40-60,27148,600
Kolkata,410038,Female,20-40,23397,429
Nagpur,400074,Female,40-60,31763,493
Bangalore,400074,Male,80+,80432,471
Pune,400065,Female,20-40,58962,942
Kolkata,400074,Female,80+,89436,1269
Mumbai,410067,Female,80+,49138,455
Chennai,410067,Female,20-40,46043,1566
Bangalore,410054,Male,20-40,46010,406
Nagpur,560095,Female,20-40,87474,692
Kolkata,400065,Female,80+,49088,1596
Mumbai,53000,Male,80+,18803,1055
Kolkata,400074,Male,80+,30639,1278
Bangalore,400065,Male,20-40,80095,1139
Mumbai,400065,Female,20-40,39440,1057
Mumbai,560095,Female,40-60,83292,442
Kolkata,410067,Female,20-40,97817,682
Kolkata,53000,Female,20-40,31566,1415
Pune,53000,Male,80+,97889,816
Mumbai,560095,Male,80+,52760,1339
Nagpur,410038,Male,40-60,92528,480
Bangalore,410054,Male,20-40,19754,948
Chennai,560095,Female,60-80,43383,810
Nagpur,410054,Male,80+,48973,1730
Nagpur,53000,Male,80+,89310,657
Nagpur,410067,Male,80+,88521,866
Kolkata,560095,Male,20-40,81620,1115
Kolkata,400065,Male,40-60,55669,1301
Mumbai,400074,Female,60-80,98979,217
Kolkata,410054,Female,40-60,54723,1001
Chennai,410054,Female,60-80,29974,844
Nagpur,410067,Female,20-40,72505,1629
Mumbai,400065,Male,60-80,25871,1162
Mumbai,410054,Male,20-40,21413,570
Chennai,400074,Female,80+,65739,1798
Chennai,410038,Male,80+,44286,985
Nagpur,410054,Male,40-60,4974,1492
